the 14519 6.579835855324278
of 6734 3.0517676596014667
and 6424 2.9112793949034486
a 4697 2.1286238041502954
to 4686 2.1236387366932687
in 4197 1.902029828830911
that 2926 1.3260279435690363
his 2519 1.1415804476590576
it 2372 1.0749618189151589
i 1845 0.8361317689285277
with 1763 0.7989703569761487
but 1742 0.7894534100127346
as 1725 0.7817492148518755
he 1725 0.7817492148518755
is 1724 0.7812960269012367
was 1638 0.7423218631463027
for 1620 0.7341644800348048
all 1500 0.6797819259581527
this 1404 0.6362758826968309
” 1366 0.6190547405725577
at 1323 0.5995676586950907
by 1215 0.5506233600261037
not 1145 0.5189002034813898
from 1103 0.4998663095545615
whale 1085 0.49170892644306374
be 1058 0.47947285177581694
on 1057 0.47901966382517824
him 1046 0.47403459636815176
so 1041 0.4717686566149579
you 916 0.4151201627851119
one 898 0.40696277967361405
or 793 0.35937804485654334
had 777 0.3521270376463231
have 769 0.3485015340412129
now 758 0.34351646658418644
there 746 0.3380782111765212
were 680 0.3081678064343625
they 654 0.29638491971775455
which 644 0.2918530402113669
like 637 0.2886807245568955
their 619 0.28052334144539764
me 615 0.27871058964284257
then 611 0.2768978378402875
are 611 0.2768978378402875
some 611 0.2768978378402875
when 593 0.2687404547287897
an 592 0.2682872667781509
my 574 0.2601298836666531
upon 565 0.25605119211090416
no 551 0.2497065608019614
out 528 0.23928323793726974
into 522 0.2365641102334371
up 518 0.23475135843088205
more 504 0.22840672712193927
what 494 0.2238748476155516
if 484 0.2193429681091639
them 462 0.20937283319511102
man 461 0.20891964524447226
sea 450 0.20393457778744578
old 449 0.20348138983680703
we 440 0.1994026982810581
ship 429 0.19441763082403166
would 429 0.19441763082403166
ahab 420 0.19033893926828274
ye 420 0.19033893926828274
been 415 0.1880729995150889
other 412 0.18671343566317258
over 409 0.1853538718112563
these 398 0.18036880435422983
will 392 0.17764967665039724
its 379 0.17175823329209322
such 372 0.16858591763762185
down 371 0.1681327296869831
only 371 0.1681327296869831
any 362 0.16405403813123418
though 362 0.16405403813123418
yet 340 0.15408390321718124
head 337 0.15272433936526494
who 330 0.14955202371079357
time 330 0.14955202371079357
long 329 0.1490988357601548
her 326 0.14773927190823852
very 314 0.14230101650057328
about 313 0.14184782854993452
than 309 0.14003507674737944
chapter 308 0.13958188879674066
still 308 0.13958188879674066
great 306 0.13867551289546315
those 305 0.13822232494482437
do 299 0.13550319724099175
said 298 0.135050009290353
before 298 0.135050009290353
must 292 0.13233088158652037
has 290 0.13142450568524286
two 290 0.13142450568524286
boat 289 0.13097131773460408
captain 289 0.13097131773460408
most 282 0.1277990020801327
here 281 0.12734581412949392
seemed 281 0.12734581412949392
white 280 0.12689262617885516
last 276 0.12507987437630008
whales 268 0.12145437077118992
after 266 0.1205479948699124
see 264 0.11964161896863487
way 263 0.1191884310179961
again 256 0.11601611536352471
your 255 0.11556292741288594
may 249 0.11284379970905334
little 249 0.11284379970905334
did 248 0.11239061175841455
thou 247 0.1119374238077758
round 244 0.1105778599558595
while 242 0.10967148405458195
sperm 241 0.1092182961039432
three 240 0.10876510815330442
first 235 0.10649916840011057
through 232 0.10513960454819427
men 231 0.10468641659755551
how 230 0.10423322864691674
stubb 229 0.10378004069627797
us 228 0.10332685274563921
every 226 0.10242047684436166
say 226 0.10242047684436166
much 221 0.10015453709116783
being 217 0.09834178528861275
could 216 0.09788859733797398
off 214 0.09698222143669645
same 214 0.09698222143669645
hand 210 0.09516946963414137
our 209 0.0947162816835026
can 206 0.09335671783158629
good 206 0.09335671783158629
own 205 0.09290352988094752
side 205 0.09290352988094752
ever 203 0.09199715397966998
well 203 0.09199715397966998
never 199 0.09018440217711492
where 199 0.09018440217711492
himself 199 0.09018440217711492
queequeg 198 0.08973121422647615
deck 196 0.08882483832519862
almost 195 0.08837165037455984
even 189 0.08565252267072723
thing 184 0.0833865829175334
water 184 0.0833865829175334
should 184 0.0833865829175334
go 183 0.08293339496689461
might 182 0.08248020701625586
away 180 0.08157383111497832
look 180 0.08157383111497832
too 179 0.08112064316433955
made 177 0.08021426726306201
day 175 0.07930789136178447
starbuck 167 0.07568238775667432
many 167 0.07568238775667432
among 167 0.07568238775667432
life 166 0.07522919980603555
far 165 0.07477601185539678
fish 163 0.07386963595411926
seen 161 0.07296326005284172
without 161 0.07296326005284172
come 160 0.07251007210220294
world 159 0.07205688415156418
back 159 0.07205688415156418
line 155 0.07024413234900911
eyes 154 0.06979094439837033
sir 153 0.06933775644773157
sort 152 0.06888456849709279
part 152 0.06888456849709279
nor 151 0.06843138054645403
thought 149 0.0675250046451765
once 149 0.0675250046451765
cried 149 0.0675250046451765
right 148 0.06707181669453773
know 148 0.06707181669453773
night 147 0.06661862874389896
boats 142 0.0643526889907051
air 142 0.0643526889907051
whole 137 0.06208674923751127
crew 135 0.06118037333623374
full 135 0.06118037333623374
half 135 0.06118037333623374
against 133 0.0602739974349562
’ 133 0.0602739974349562
thus 131 0.05936762153367866
whaling 130 0.058914433583039896
things 130 0.058914433583039896
thee 129 0.05846124563240112
came 129 0.05846124563240112
let 129 0.05846124563240112
small 129 0.05846124563240112
each 129 0.05846124563240112
tell 129 0.05846124563240112
whale’s 128 0.05800805768176236
take 128 0.05800805768176236
soon 128 0.05800805768176236
pequod 127 0.057554869731123594
feet 125 0.056648493829846054
mast 124 0.05619530587920728
under 123 0.055742117928568514
god 123 0.055742117928568514
both 122 0.05528892997792975
hands 121 0.054835742027290975
till 120 0.05438255407665221
between 119 0.053929366126013435
found 118 0.05347617817537467
something 118 0.05347617817537467
